date,temp,humidity,precip,windspeed,pressure,temp_mean,day_of_year,sin_doy,cos_doy,temp_ma_7d,temp_ma_30d,precip_ma_7d,humidity_ma_7d
2024-01-31,22.14953968033462,65.0873791433845,0.9599258352645275,8.464507394322007,1013.879217419896,22.14953968033462,31,0.5086709438521044,0.8609610158889943,22.46198102698447,19.636643425099326,1.643318718663926,61.69142437436586
2024-02-01,20.347445054414152,73.22463903939953,4.421498762735363,5.617393005594703,1014.9696608259015,20.347445054414152,32,0.5234156073655503,0.8520775211013093,22.165180944705096,19.755128828873644,1.2451924086535069,63.76272294614931
2024-02-02,19.952370541975075,67.94971185611973,6.475786737022212,6.358635363296579,1015.890128387733,19.952370541975075,33,0.5380051715382996,0.8429415373547828,21.392273822747377,19.870152452428332,1.984432398057868,65.26432431764601
2024-02-03,22.85083659556457,67.25504982130309,8.690378947961843,7.509223767994259,1010.7387915069276,22.85083659556457,34,0.5524353131676196,0.8335557718385699,22.082745172034464,20.082828908539952,3.22591510490956,65.59539518799451
2024-02-04,20.367705001178564,59.81063707481924,2.7686948717576874,8.682303949633289,1013.8300723979901,20.367705001178564,35,0.5667017562911176,0.8239230057575542,21.513278095076036,20.072010166285306,3.3308978792488046,65.74298031634689
2024-02-05,23.920441745757703,62.888876935662225,7.360602231471951,7.470686333524088,1021.1605074997689,23.920441745757703,36,0.5808002734538009,0.8140460935082178,21.810139188795205,20.264429939952127,4.3824124837447975,64.7295356579422
2024-02-06,23.63459823556108,58.62383274725026,0.0,8.96494483048637,1012.3296116440224,23.63459823556108,37,0.5947266869607634,0.8039279618328213,21.88899097925511,20.48935799049447,4.3824124837447975,64.9771609454198
2024-02-07,23.926265000229872,65.18830862279876,2.7815132620293817,6.30641256386319,1008.4554583259425,23.926265000229872,38,0.6084768701151261,0.7935716089521474,22.142808882097288,20.759842372262877,4.64263925899692,64.99157944247898
2024-02-08,21.718012682473702,67.76659016687526,3.6422812323906117,5.508522442576024,1013.5195427775535,21.718012682473702,39,0.6220467484408675,0.7829801036770629,22.338604257534367,20.820688099956353,4.531322468947669,64.21185817497552
2024-02-09,23.49220060444932,58.53305263765954,3.4611753178365836,8.116417436892,1009.5710891065081,23.49220060444932,40,0.6354323008901774,0.7721565844991642,22.844294266459258,21.032518321053267,4.100663694778294,62.86662114376691
2024-02-10,23.545375757467195,65.74030990460102,6.2491537295258315,10.107604104069805,1008.8669918961288,23.545375757467195,41,0.6486295610349814,0.7611042586607747,22.943514146731058,21.171185343412365,3.751917235001721,62.65022972709519
2024-02-11,21.06006600969123,66.25715653313593,4.541357852736626,9.030095372612095,1024.5581944719643,21.06006600969123,42,0.6616346182422783,0.7498264012045686,23.042422862232872,21.18122538595073,4.0051548037129985,63.57116107828328
2024-02-12,24.18106063971455,68.42351000898863,5.8620052904796065,9.302782502611596,1012.054192266079,24.18106063971455,43,0.6744436188329455,0.7383263540031065,23.079654132798137,21.38406378034424,3.791069526428377,64.36182294590135
2024-02-13,24.65839937606871,58.73835411449153,2.2895441797799734,7.029272904341793,1013.245622418159,24.65839937606871,44,0.6870527672236669,0.7266075247685656,23.22591143858494,21.475227467376442,4.118147266396945,64.37818314122151
2024-02-14,27.868547190922556,52.30310987976449,5.05878057112354,4.774568257620697,1011.5842044026317,27.868547190922556,45,0.699458327051647,0.7146733860429609,23.789094608683893,21.734535589387942,4.443471167696111,62.537440463645204
2024-02-15,25.513458912320434,62.667362421781185,0.0,6.569392581480064,1015.0387932468041,25.513458912320434,46,0.7116566222817746,0.7025274741691571,24.331301212947714,21.879499984862843,3.9231452773545947,61.80897935720319
2024-02-16,21.96868211011355,64.49168831487582,3.1367155197114416,6.696799304788366,1019.431832267976,21.96868211011355,47,0.7236440382959124,0.6901733882429719,24.113655713756888,21.970647775336463,3.8767938776224318,62.66021302537695
2024-02-17,24.788613255649118,52.43770309001723,3.559362944308283,6.676427070463224,1015.5573000043887,24.788613255649118,48,0.7354170229639855,0.6776147890466889,24.291261070640022,22.169549439509993,3.4925380511627817,60.75984062329354
2024-02-18,22.02456868202454,62.81894718805815,4.514961836941371,9.731510388340244,1009.3991107788327,22.02456868202454,49,0.7469720876965552,0.6648553979642865,24.42904716668764,22.231392129318547,3.488767191763459,60.26866785971101
2024-02-19,23.026891421784214,60.71720601765996,1.0400123022788643,11.530908480562193,1014.2149451328829,23.026891421784214,50,0.7583058084785624,0.6518989958787126,24.264165849840445,22.42573236921069,2.7999110505919247,59.167767289521194
2024-02-20,21.25783293833879,68.21195985377224,9.3664685910379,10.064930521102294,1008.4418901021379,21.25783293833879,51,0.7694148268839378,0.6387494220515272,23.778370644450458,22.552992280411218,3.8109002522002,60.52113953798987
2024-02-21,22.89223806960888,69.46688432505044,0.876991603143658,8.887638856292456,1015.323902160288,22.89223806960888,52,0.7802958510707755,0.6254105729852463,23.067469341405648,22.60858755205855,3.2135018282030745,62.973107315887866
2024-02-22,22.085325022036404,63.076775713080075,0.0,5.951224717331421,1012.2422955458205,22.085325022036404,53,0.7909456567567772,0.6118864012687243,22.57773592850793,22.78734398826069,3.2135018282030745,63.03159492893055
2024-02-23,21.519450477389142,71.70622137644143,0.0,7.119911026606032,1013.3922217318583,21.519450477389142,54,0.8013610881746766,0.5981809144059165,22.513559980975874,22.794475083787486,2.7653996111014396,64.06224250915422
2024-02-24,26.97072295152726,54.72947235864462,6.489491256464879,8.020466122039174,1010.0554740468561,26.97072295152726,55,0.8115390590073611,0.5842981736283684,22.82528993752989,22.945997661159407,3.1839893699809534,64.38963811895813
2024-02-25,25.082849831199415,63.47044352850753,1.1993493685236158,8.139604169980037,1011.8440592094147,25.082849831199415,56,0.8214765533024142,0.5702422926917871,23.26218724455487,22.936668642343413,2.7103304459212745,64.48270902473662
2024-02-26,24.45343017890737,65.97462431893302,7.758050448436056,5.524369002346302,1019.3991001239688,24.45343017890737,57,0.8311706263658079,0.5560174366570446,23.465978495572468,23.15119840995516,3.6700501810865873,65.23376878206135
2024-02-27,20.38723851498674,63.12490297032606,4.764951619453729,8.561983735470065,1011.1319014405382,20.38723851498674,58,0.8406184056344782,0.5416278206559814,23.34160786366503,23.0189738757918,3.01269061371742,64.50704637014046
2024-02-28,23.93743499241693,60.35376482898076,1.2319057291673654,9.69920419404205,1014.0710464578951,23.93743499241693,59,0.8498170915275278,0.5270777086423722,23.49092170978047,23.08880790588158,3.0633926317208067,63.20517215641621
2024-02-29,23.027353984607164,67.5897931817841,3.9218985626298277,9.62572423767792,1014.8888865257709,23.027353984607164,60,0.8587639582758029,0.5123714121284237,23.625497275862,23.086965181957098,3.6236638549536395,63.84988893765965
2024-03-01,22.81188750891661,60.35552854634017,5.241880815369786,9.22074053086693,1012.9372952181076,22.81188750891661,61,0.8674563547295969,0.49751328890718066,23.810131137508783,23.109043442909826,4.372503971435037,62.22836139050232
2024-03-02,24.758430523921536,68.96079532176566,1.22528583349251,9.094194762340075,1012.3934220426983,24.758430523921536,62,0.8758917051442429,0.48250774176121847,23.49408936213654,23.256076291893407,3.620474625296127,64.26140752809104
2024-03-03,24.139489477095953,68.25203741680717,5.47624904696409,9.627019272001277,1016.916436421463,24.139489477095953,63,0.8840675099433636,0.4673592171580022,23.359323597264616,23.395646923064103,4.2314602936447665,64.9444923692767
2024-03-04,24.665098457807005,66.01023531913272,2.0691997302196317,8.648332704976884,1012.609570836897,24.665098457807005,64,0.8919813464595485,0.45207220393230435,23.389561922821706,23.456122318472183,3.418767333899563,64.94957965501952
2024-03-05,24.862470066038213,65.51704410737311,0.5453379502995825,12.184774551370921,1009.981947855501,24.862470066038213,65,0.8996308696522433,0.43665123195606403,24.028880715829057,23.60594782063417,2.8159653811632563,65.29131410316909
2024-03-06,22.28262329325404,69.10576737952412,5.374988081888808,9.24823963410431,1014.8850365277929,22.28262329325404,66,0.9070138128026359,0.4211008707960896,23.79247904452007,23.551353872217383,3.407834288694891,66.54160018181815
2024-03-07,24.72615177687812,58.095882609507406,3.227413674581179,6.645676576975776,1015.9253592002533,24.72615177687812,67,0.9141279881853337,0.40542572835999735,24.035164443415926,23.587738990261286,3.3086221618307983,65.18532724292149
